
./src/release/share/notepad:     file format elf64-x86-64


Disassembly of section .init:

0000000000001000 <_init>:
    1000:	f3 0f 1e fa          	endbr64 
    1199:	f2 e9 81 fe ff ff    	bnd jmp 1020 <_init+0x20>
    119f:	90                   	nop
    11a0:	f3 0f 1e fa          	endbr64 
    11a4:	68 17 00 00 00       	push   $0x17
    11a9:	f2 e9 71 fe ff ff    	bnd jmp 1020 <_init+0x20>
    11af:	90                   	nop

Disassembly of section .plt.got:

00000000000011b0 <__cxa_finalize@plt>:
    11b0:	f3 0f 1e fa          	endbr64 
    11b4:	f2 ff 25 3d 3e 00 00 	bnd jmp *0x3e3d(%rip)        # 4ff8 <__cxa_finalize@GLIBC_2.2.5>
    11bb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

Disassembly of section .plt.sec:

00000000000011c0 <strncpy@plt>:
    11c0:	f3 0f 1e fa          	endbr64 
    11c4:	f2 ff 25 4d 3d 00 00 	bnd jmp *0x3d4d(%rip)        # 4f18 <strncpy@GLIBC_2.2.5>
    11cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000011d0 <strcpy@plt>:
    11d0:	f3 0f 1e fa          	endbr64 
    11d4:	f2 ff 25 45 3d 00 00 	bnd jmp *0x3d45(%rip)        # 4f20 <strcpy@GLIBC_2.2.5>
    11db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000011e0 <puts@plt>:
    11e0:	f3 0f 1e fa          	endbr64 
    11e4:	f2 ff 25 3d 3d 00 00 	bnd jmp *0x3d3d(%rip)        # 4f28 <puts@GLIBC_2.2.5>
    11eb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000011f0 <write@plt>:
    11f0:	f3 0f 1e fa          	endbr64 
    11f4:	f2 ff 25 35 3d 00 00 	bnd jmp *0x3d35(%rip)        # 4f30 <write@GLIBC_2.2.5>
    11fb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001200 <strlen@plt>:
    1200:	f3 0f 1e fa          	endbr64 
    1204:	f2 ff 25 2d 3d 00 00 	bnd jmp *0x3d2d(%rip)        # 4f38 <strlen@GLIBC_2.2.5>
    120b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001210 <__stack_chk_fail@plt>:
    1210:	f3 0f 1e fa          	endbr64 
    1214:	f2 ff 25 25 3d 00 00 	bnd jmp *0x3d25(%rip)        # 4f40 <__stack_chk_fail@GLIBC_2.4>
    121b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001220 <htons@plt>:
    1220:	f3 0f 1e fa          	endbr64 
    1224:	f2 ff 25 1d 3d 00 00 	bnd jmp *0x3d1d(%rip)        # 4f48 <htons@GLIBC_2.2.5>
    122b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001230 <printf@plt>:
    1230:	f3 0f 1e fa          	endbr64 
    1234:	f2 ff 25 15 3d 00 00 	bnd jmp *0x3d15(%rip)        # 4f50 <printf@GLIBC_2.2.5>
    123b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001240 <snprintf@plt>:
    1240:	f3 0f 1e fa          	endbr64 
    1244:	f2 ff 25 0d 3d 00 00 	bnd jmp *0x3d0d(%rip)        # 4f58 <snprintf@GLIBC_2.2.5>
    124b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001250 <lseek@plt>:
    1250:	f3 0f 1e fa          	endbr64 
    1254:	f2 ff 25 05 3d 00 00 	bnd jmp *0x3d05(%rip)        # 4f60 <lseek@GLIBC_2.2.5>
    125b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001260 <memset@plt>:
    1260:	f3 0f 1e fa          	endbr64 
    1264:	f2 ff 25 fd 3c 00 00 	bnd jmp *0x3cfd(%rip)        # 4f68 <memset@GLIBC_2.2.5>
    126b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001270 <close@plt>:
    1270:	f3 0f 1e fa          	endbr64 
    1274:	f2 ff 25 f5 3c 00 00 	bnd jmp *0x3cf5(%rip)        # 4f70 <close@GLIBC_2.2.5>
    127b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001280 <read@plt>:
    1280:	f3 0f 1e fa          	endbr64 
    1284:	f2 ff 25 ed 3c 00 00 	bnd jmp *0x3ced(%rip)        # 4f78 <read@GLIBC_2.2.5>
    128b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001290 <inet_addr@plt>:
    1290:	f3 0f 1e fa          	endbr64 
    1294:	f2 ff 25 e5 3c 00 00 	bnd jmp *0x3ce5(%rip)        # 4f80 <inet_addr@GLIBC_2.2.5>
    129b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012a0 <prctl@plt>:
    12a0:	f3 0f 1e fa          	endbr64 
    12a4:	f2 ff 25 dd 3c 00 00 	bnd jmp *0x3cdd(%rip)        # 4f88 <prctl@GLIBC_2.2.5>
    12ab:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012b0 <malloc@plt>:
    12b0:	f3 0f 1e fa          	endbr64 
    12b4:	f2 ff 25 d5 3c 00 00 	bnd jmp *0x3cd5(%rip)        # 4f90 <malloc@GLIBC_2.2.5>
    12bb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012c0 <setvbuf@plt>:
    12c0:	f3 0f 1e fa          	endbr64 
    12c4:	f2 ff 25 cd 3c 00 00 	bnd jmp *0x3ccd(%rip)        # 4f98 <setvbuf@GLIBC_2.2.5>
    12cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012d0 <atol@plt>:
    12d0:	f3 0f 1e fa          	endbr64 
    12d4:	f2 ff 25 c5 3c 00 00 	bnd jmp *0x3cc5(%rip)        # 4fa0 <atol@GLIBC_2.2.5>
    12db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012e0 <open@plt>:
    12e0:	f3 0f 1e fa          	endbr64 
    12e4:	f2 ff 25 bd 3c 00 00 	bnd jmp *0x3cbd(%rip)        # 4fa8 <open@GLIBC_2.2.5>
    12eb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000000012f0 <perror@plt>:
    12f0:	f3 0f 1e fa          	endbr64 
    12f4:	f2 ff 25 b5 3c 00 00 	bnd jmp *0x3cb5(%rip)        # 4fb0 <perror@GLIBC_2.2.5>
    12fb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001300 <exit@plt>:
    1300:	f3 0f 1e fa          	endbr64 
    1304:	f2 ff 25 ad 3c 00 00 	bnd jmp *0x3cad(%rip)        # 4fb8 <exit@GLIBC_2.2.5>
    130b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001310 <connect@plt>:
    1310:	f3 0f 1e fa          	endbr64 
    1314:	f2 ff 25 a5 3c 00 00 	bnd jmp *0x3ca5(%rip)        # 4fc0 <connect@GLIBC_2.2.5>
    131b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001320 <strdup@plt>:
    1320:	f3 0f 1e fa          	endbr64 
    1324:	f2 ff 25 9d 3c 00 00 	bnd jmp *0x3c9d(%rip)        # 4fc8 <strdup@GLIBC_2.2.5>
    132b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000001330 <socket@plt>:
    1330:	f3 0f 1e fa          	endbr64 
    1334:	f2 ff 25 95 3c 00 00 	bnd jmp *0x3c95(%rip)        # 4fd0 <socket@GLIBC_2.2.5>
    133b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

Disassembly of section .text:

0000000000001340 <_start>:
    1340:	f3 0f 1e fa          	endbr64 
    1344:	31 ed                	xor    %ebp,%ebp
    1346:	49 89 d1             	mov    %rdx,%r9
    1349:	5e                   	pop    %rsi
    134a:	48 89 e2             	mov    %rsp,%rdx
    134d:	48 83 e4 f0          	and    $0xfffffffffffffff0,%rsp
    1351:	50                   	push   %rax
    1352:	54                   	push   %rsp
    1353:	45 31 c0             	xor    %r8d,%r8d
    1356:	31 c9                	xor    %ecx,%ecx
    1358:	48 8d 3d ef 0b 00 00 	lea    0xbef(%rip),%rdi        # 1f4e <main>
    135f:	ff 15 73 3c 00 00    	call   *0x3c73(%rip)        # 4fd8 <__libc_start_main@GLIBC_2.34>
    1365:	f4                   	hlt    
    1366:	66 2e 0f 1f 84 00 00 	cs nopw 0x0(%rax,%rax,1)
    136d:	00 00 00 

0000000000001370 <deregister_tm_clones>:
    1370:	48 8d 3d d9 3d 00 00 	lea    0x3dd9(%rip),%rdi        # 5150 <stdout@GLIBC_2.2.5>
    1377:	48 8d 05 d2 3d 00 00 	lea    0x3dd2(%rip),%rax        # 5150 <stdout@GLIBC_2.2.5>
    137e:	48 39 f8             	cmp    %rdi,%rax
    1381:	74 15                	je     1398 <deregister_tm_clones+0x28>
    1383:	48 8b 05 56 3c 00 00 	mov    0x3c56(%rip),%rax        # 4fe0 <_ITM_deregisterTMCloneTable@Base>
    138a:	48 85 c0             	test   %rax,%rax
    138d:	74 09                	je     1398 <deregister_tm_clones+0x28>
    138f:	ff e0                	jmp    *%rax
    1391:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    1398:	c3                   	ret    
    1399:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)

00000000000013a0 <register_tm_clones>:
    13a0:	48 8d 3d a9 3d 00 00 	lea    0x3da9(%rip),%rdi        # 5150 <stdout@GLIBC_2.2.5>
    13a7:	48 8d 35 a2 3d 00 00 	lea    0x3da2(%rip),%rsi        # 5150 <stdout@GLIBC_2.2.5>
    13ae:	48 29 fe             	sub    %rdi,%rsi
    13b1:	48 89 f0             	mov    %rsi,%rax
    13b4:	48 c1 ee 3f          	shr    $0x3f,%rsi
    13b8:	48 c1 f8 03          	sar    $0x3,%rax
    13bc:	48 01 c6             	add    %rax,%rsi
    13bf:	48 d1 fe             	sar    %rsi
    13c2:	74 14                	je     13d8 <register_tm_clones+0x38>
    13c4:	48 8b 05 25 3c 00 00 	mov    0x3c25(%rip),%rax        # 4ff0 <_ITM_registerTMCloneTable@Base>
    13cb:	48 85 c0             	test   %rax,%rax
    13ce:	74 08                	je     13d8 <register_tm_clones+0x38>
    13d0:	ff e0                	jmp    *%rax
    13d2:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
    13d8:	c3                   	ret    
    13d9:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)

00000000000013e0 <__do_global_dtors_aux>:
    13e0:	f3 0f 1e fa          	endbr64 
    13e4:	80 3d 7d 3d 00 00 00 	cmpb   $0x0,0x3d7d(%rip)        # 5168 <completed.0>
    13eb:	75 2b                	jne    1418 <__do_global_dtors_aux+0x38>
    13ed:	55                   	push   %rbp
    13ee:	48 83 3d 02 3c 00 00 	cmpq   $0x0,0x3c02(%rip)        # 4ff8 <__cxa_finalize@GLIBC_2.2.5>
    13f5:	00 
    13f6:	48 89 e5             	mov    %rsp,%rbp
    13f9:	74 0c                	je     1407 <__do_global_dtors_aux+0x27>
    13fb:	48 8b 3d 06 3c 00 00 	mov    0x3c06(%rip),%rdi        # 5008 <__dso_handle>
    1402:	e8 a9 fd ff ff       	call   11b0 <__cxa_finalize@plt>
    1407:	e8 64 ff ff ff       	call   1370 <deregister_tm_clones>
    140c:	c6 05 55 3d 00 00 01 	movb   $0x1,0x3d55(%rip)        # 5168 <completed.0>
    1413:	5d                   	pop    %rbp
    1414:	c3                   	ret    
    1415:	0f 1f 00             	nopl   (%rax)
    1418:	c3                   	ret    
    1419:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)

0000000000001420 <frame_dummy>:
    1420:	f3 0f 1e fa          	endbr64 
    1424:	e9 77 ff ff ff       	jmp    13a0 <register_tm_clones>

0000000000001429 <apply_seccomp>:
    1429:	f3 0f 1e fa          	endbr64 
    142d:	55                   	push   %rbp
    142e:	48 89 e5             	mov    %rsp,%rbp
    1431:	41 b8 00 00 00 00    	mov    $0x0,%r8d
    1437:	b9 00 00 00 00       	mov    $0x0,%ecx
    143c:	ba 00 00 00 00       	mov    $0x0,%edx
    1441:	be 01 00 00 00       	mov    $0x1,%esi
    1446:	bf 26 00 00 00       	mov    $0x26,%edi
    144b:	b8 00 00 00 00       	mov    $0x0,%eax
    1450:	e8 4b fe ff ff       	call   12a0 <prctl@plt>
    1455:	85 c0                	test   %eax,%eax
    1457:	74 19                	je     1472 <apply_seccomp+0x49>
    1459:	48 8d 05 a8 1b 00 00 	lea    0x1ba8(%rip),%rax        # 3008 <_IO_stdin_used+0x8>
    1460:	48 89 c7             	mov    %rax,%rdi
    1463:	e8 88 fe ff ff       	call   12f0 <perror@plt>
    1468:	bf 01 00 00 00       	mov    $0x1,%edi
    146d:	e8 8e fe ff ff       	call   1300 <exit@plt>
    1472:	48 8d 05 c7 3c 00 00 	lea    0x3cc7(%rip),%rax        # 5140 <filterprog>
    1479:	48 89 c2             	mov    %rax,%rdx
    147c:	be 02 00 00 00       	mov    $0x2,%esi
    1481:	bf 16 00 00 00       	mov    $0x16,%edi
    1486:	b8 00 00 00 00       	mov    $0x0,%eax
    148b:	e8 10 fe ff ff       	call   12a0 <prctl@plt>
    1490:	83 f8 ff             	cmp    $0xffffffff,%eax
    1493:	75 19                	jne    14ae <apply_seccomp+0x85>
    1495:	48 8d 05 6c 1b 00 00 	lea    0x1b6c(%rip),%rax        # 3008 <_IO_stdin_used+0x8>
    149c:	48 89 c7             	mov    %rax,%rdi
    149f:	e8 4c fe ff ff       	call   12f0 <perror@plt>
    14a4:	bf 01 00 00 00       	mov    $0x1,%edi
    14a9:	e8 52 fe ff ff       	call   1300 <exit@plt>
    14ae:	90                   	nop
    14af:	5d                   	pop    %rbp
    14b0:	c3                   	ret    

00000000000014b1 <errorexit>:
    14b1:	f3 0f 1e fa          	endbr64 
    14b5:	55                   	push   %rbp
    14b6:	48 89 e5             	mov    %rsp,%rbp
    14b9:	48 83 ec 10          	sub    $0x10,%rsp
    14bd:	48 89 7d f8          	mov    %rdi,-0x8(%rbp)
    14c1:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    14c5:	48 89 c7             	mov    %rax,%rdi
    14c8:	e8 13 fd ff ff       	call   11e0 <puts@plt>
    14cd:	bf ff ff ff ff       	mov    $0xffffffff,%edi
    14d2:	e8 29 fe ff ff       	call   1300 <exit@plt>

00000000000014d7 <connect_backend>:
    14d7:	f3 0f 1e fa          	endbr64 
    14db:	55                   	push   %rbp
    14dc:	48 89 e5             	mov    %rsp,%rbp
    14df:	48 83 ec 30          	sub    $0x30,%rsp
    14e3:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    14ea:	00 00 
    14ec:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    14f0:	31 c0                	xor    %eax,%eax
    14f2:	ba 00 00 00 00       	mov    $0x0,%edx
    14f7:	be 01 00 00 00       	mov    $0x1,%esi
    14fc:	bf 02 00 00 00       	mov    $0x2,%edi
    1501:	e8 2a fe ff ff       	call   1330 <socket@plt>
    1506:	89 45 dc             	mov    %eax,-0x24(%rbp)
    1509:	48 8d 45 e0          	lea    -0x20(%rbp),%rax
    150d:	48 c7 00 00 00 00 00 	movq   $0x0,(%rax)
    1514:	48 c7 40 08 00 00 00 	movq   $0x0,0x8(%rax)
    151b:	00 
    151c:	66 c7 45 e0 02 00    	movw   $0x2,-0x20(%rbp)
    1522:	48 8d 05 ed 1a 00 00 	lea    0x1aed(%rip),%rax        # 3016 <_IO_stdin_used+0x16>
    1529:	48 89 c7             	mov    %rax,%rdi
    152c:	e8 5f fd ff ff       	call   1290 <inet_addr@plt>
    1531:	89 45 e4             	mov    %eax,-0x1c(%rbp)
    1534:	bf 3d 22 00 00       	mov    $0x223d,%edi
    1539:	e8 e2 fc ff ff       	call   1220 <htons@plt>
    153e:	66 89 45 e2          	mov    %ax,-0x1e(%rbp)
    1542:	48 8d 4d e0          	lea    -0x20(%rbp),%rcx
    1546:	8b 45 dc             	mov    -0x24(%rbp),%eax
    1549:	ba 10 00 00 00       	mov    $0x10,%edx
    154e:	48 89 ce             	mov    %rcx,%rsi
    1551:	89 c7                	mov    %eax,%edi
    1553:	e8 b8 fd ff ff       	call   1310 <connect@plt>
    1558:	83 f8 ff             	cmp    $0xffffffff,%eax
    155b:	75 07                	jne    1564 <connect_backend+0x8d>
    155d:	b8 ff ff ff ff       	mov    $0xffffffff,%eax
    1562:	eb 03                	jmp    1567 <connect_backend+0x90>
    1564:	8b 45 dc             	mov    -0x24(%rbp),%eax
    1567:	48 8b 55 f8          	mov    -0x8(%rbp),%rdx
    156b:	64 48 2b 14 25 28 00 	sub    %fs:0x28,%rdx
    1572:	00 00 
    1574:	74 05                	je     157b <connect_backend+0xa4>
    1576:	e8 95 fc ff ff       	call   1210 <__stack_chk_fail@plt>
    157b:	c9                   	leave  
    157c:	c3                   	ret    

000000000000157d <command_login>:
    157d:	f3 0f 1e fa          	endbr64 
    1581:	55                   	push   %rbp
    1582:	48 89 e5             	mov    %rsp,%rbp
    1585:	48 81 ec e0 01 00 00 	sub    $0x1e0,%rsp
    158c:	89 bd 3c fe ff ff    	mov    %edi,-0x1c4(%rbp)
    1592:	48 89 b5 30 fe ff ff 	mov    %rsi,-0x1d0(%rbp)
    1599:	48 89 95 28 fe ff ff 	mov    %rdx,-0x1d8(%rbp)
    15a0:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    15a7:	00 00 
    15a9:	48 89 45 f8          	mov    %rax,-0x8(%rbp)
    15ad:	31 c0                	xor    %eax,%eax
    15af:	48 8b 85 30 fe ff ff 	mov    -0x1d0(%rbp),%rax
    15b6:	48 89 c7             	mov    %rax,%rdi
    15b9:	e8 42 fc ff ff       	call   1200 <strlen@plt>
    15be:	48 83 f8 0f          	cmp    $0xf,%rax
    15c2:	77 15                	ja     15d9 <command_login+0x5c>
    15c4:	48 8b 85 28 fe ff ff 	mov    -0x1d8(%rbp),%rax
    15cb:	48 89 c7             	mov    %rax,%rdi
    15ce:	e8 2d fc ff ff       	call   1200 <strlen@plt>
    15d3:	48 83 f8 0f          	cmp    $0xf,%rax
    15d7:	76 14                	jbe    15ed <command_login+0x70>
    15d9:	48 8d 05 40 1a 00 00 	lea    0x1a40(%rip),%rax        # 3020 <_IO_stdin_used+0x20>
    15e0:	48 89 c7             	mov    %rax,%rdi
    15e3:	e8 c9 fe ff ff       	call   14b1 <errorexit>
    15e8:	e9 32 01 00 00       	jmp    171f <command_login+0x1a2>
    15ed:	48 8d 85 40 fe ff ff 	lea    -0x1c0(%rbp),%rax
    15f4:	ba a4 00 00 00       	mov    $0xa4,%edx
    15f9:	be 00 00 00 00       	mov    $0x0,%esi
    15fe:	48 89 c7             	mov    %rax,%rdi
    1601:	e8 5a fc ff ff       	call   1260 <memset@plt>
    1606:	c7 85 40 fe ff ff 02 	movl   $0x2,-0x1c0(%rbp)
    160d:	00 00 00 
    1610:	48 8b 85 30 fe ff ff 	mov    -0x1d0(%rbp),%rax
    1617:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    161e:	48 83 c2 24          	add    $0x24,%rdx
    1622:	48 89 c6             	mov    %rax,%rsi
    1625:	48 89 d7             	mov    %rdx,%rdi
    1628:	e8 a3 fb ff ff       	call   11d0 <strcpy@plt>
    162d:	48 8d 85 40 fe ff ff 	lea    -0x1c0(%rbp),%rax
    1634:	48 83 c0 24          	add    $0x24,%rax
    1638:	48 89 c7             	mov    %rax,%rdi
    163b:	e8 c0 fb ff ff       	call   1200 <strlen@plt>
    1640:	48 83 c0 01          	add    $0x1,%rax
    1644:	48 8d 95 40 fe ff ff 	lea    -0x1c0(%rbp),%rdx
    164b:	48 83 c0 20          	add    $0x20,%rax
    164f:	48 01 d0             	add    %rdx,%rax
    1652:	48 8d 50 04          	lea    0x4(%rax),%rdx
    1656:	48 8b 85 28 fe ff ff 	mov    -0x1d8(%rbp),%rax
    165d:	48 89 c6             	mov    %rax,%rsi
    1660:	48 89 d7             	mov    %rdx,%rdi
    1663:	e8 68 fb ff ff       	call   11d0 <strcpy@plt>
    1668:	48 8d 8d 40 fe ff ff 	lea    -0x1c0(%rbp),%rcx
    166f:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    1675:	ba a4 00 00 00       	mov    $0xa4,%edx
    167a:	48 89 ce             	mov    %rcx,%rsi
    167d:	89 c7                	mov    %eax,%edi
    167f:	e8 6c fb ff ff       	call   11f0 <write@plt>
    1684:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    168b:	ba 04 01 00 00       	mov    $0x104,%edx
    1690:	be 00 00 00 00       	mov    $0x0,%esi
    1695:	48 89 c7             	mov    %rax,%rdi
    1698:	e8 c3 fb ff ff       	call   1260 <memset@plt>
    169d:	48 8d 8d f0 fe ff ff 	lea    -0x110(%rbp),%rcx
    16a4:	8b 85 3c fe ff ff    	mov    -0x1c4(%rbp),%eax
    16aa:	ba 04 01 00 00       	mov    $0x104,%edx
    16af:	48 89 ce             	mov    %rcx,%rsi
    16b2:	89 c7                	mov    %eax,%edi
    16b4:	e8 c7 fb ff ff       	call   1280 <read@plt>
    16b9:	48 3d 04 01 00 00    	cmp    $0x104,%rax
    16bf:	74 0f                	je     16d0 <command_login+0x153>
    16c1:	48 8d 05 78 19 00 00 	lea    0x1978(%rip),%rax        # 3040 <_IO_stdin_used+0x40>
    16c8:	48 89 c7             	mov    %rax,%rdi
    16cb:	e8 e1 fd ff ff       	call   14b1 <errorexit>
    16d0:	8b 85 f0 fe ff ff    	mov    -0x110(%rbp),%eax
    16d6:	85 c0                	test   %eax,%eax
    16d8:	75 2b                	jne    1705 <command_login+0x188>
    16da:	48 8d 85 f0 fe ff ff 	lea    -0x110(%rbp),%rax
    16e1:	48 83 c0 04          	add    $0x4,%rax
    16e5:	48 89 c7             	mov    %rax,%rdi
    16e8:	e8 33 fc ff ff       	call   1320 <strdup@plt>
    16ed:	48 89 05 7c 3a 00 00 	mov    %rax,0x3a7c(%rip)        # 5170 <Token>
    16f4:	48 8d 05 68 19 00 00 	lea    0x1968(%rip),%rax        # 3063 <_IO_stdin_used+0x63>
